id;origen;destino;fecha_vuelo;hora_vuelo;estado_vuelo
FL1001;México D.F., México ;Madrid, España ;8/3/2018;9:00;Activo
FL1002;Sao Paulo, Brasil ;Dubái, Emiratos Árabes Unidos ;21/10/2024;6:00;Activo
FL1003;Toronto, Canadá ;Madrid, España ;4/9/2018;21:00;Activo
FL1004;Estambul, Turquía ;Tokio, Japón ;27/9/2018;24:00;Activo
FL1005;Ámsterdam, Países Bajos ;Chicago, Estados Unidos ;26/9/2020;14:00;Activo
FL1006;Chicago, Estados Unidos ;Shanghái, China ;10/8/2018;3:00;Cancelado
FL1007;Shanghái, China ;Chicago, Estados Unidos ;12/7/2024;9:00;Activo
FL1008;México D.F., México ;Sao Paulo, Brasil ;7/9/2023;4:00;Activo
FL1009;Los Ángeles, Estados Unidos ;Singapur ;9/5/2018;13:00;Activo
FL1010;Sao Paulo, Brasil ;Atlanta, Estados Unidos ;9/12/2018;5:00;Activo
FL1011;Shanghái, China ;Londres, Reino Unido ;1/5/2023;11:00;Activo
FL1012;Londres, Reino Unido ;Pekín, China ;24/12/2021;1:00;Activo
FL1013;Pekín, China ;Madrid, España ;4/9/2022;19:00;Activo
FL1014;Tokio, Japón ;Atlanta, Estados Unidos ;7/4/2019;23:00;Activo
FL1015;Seúl, Corea del Sur ;Los Ángeles, Estados Unidos ;9/9/2021;13:00;Cancelado
FL1016;Singapur ;Los Ángeles, Estados Unidos ;27/4/2021;3:00;Activo
FL1017;Toronto, Canadá ;París, Francia ;27/4/2020;10:00;Activo
FL1018;Tokio, Japón ;Estambul, Turquía ;20/9/2019;14:00;Activo
FL1019;Madrid, España ;Los Ángeles, Estados Unidos ;3/4/2021;9:00;Cancelado
FL1020;Atlanta, Estados Unidos ;Roma, Italia ;9/12/2024;13:00;Activo
FL1021;Madrid, España ;Hong Kong ;2/9/2019;5:00;Activo
FL1022;París, Francia ;México D.F., México ;21/7/2024;18:00;Activo
FL1023;Seúl, Corea del Sur ;Estambul, Turquía ;24/6/2020;2:00;Activo
FL1024;Toronto, Canadá ;Pekín, China ;10/8/2018;13:00;Activo
